ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Length
67,مدرسه غیر دولتی نیک دخت - مدرسه همای رحمت,1,133,67,3856.737851203591600
68,مدرسه غیر دولتی نیک دخت - بوستان آفتابگردان,1,30,68,3880.089869852143200
69,مدرسه غیر دولتی نیک دخت - مدرسه سعادت,1,124,69,3882.014620228301300
70,مدرسه غیر دولتی نیک دخت - بوستان پلیس,1,44,70,3883.902905204885400
71,مدرسه غیر دولتی نیک دخت - دبیرستان آبسال,1,107,71,3910.198837631640800
72,مدرسه غیر دولتی نیک دخت - دبستان پسرانه محمد باقر صدر,1,65,72,3963.978292016897300
73,مدرسه غیر دولتی نیک دخت - مدرسه نور علی,1,45,73,3997.403569763846500
74,مدرسه غیر دولتی نیک دخت - بوستان شقایق,1,80,74,4006.291167598102700
75,مدرسه غیر دولتی نیک دخت - مدرسه ولایت,1,123,75,4010.847931601578200
76,مدرسه غیر دولتی نیک دخت - سالن مجموعه ورزشی گلشن,1,68,76,4074.275965066057300
77,مدرسه غیر دولتی نیک دخت - بوستان گلستان,1,21,77,4075.556623761422500
78,مدرسه غیر دولتی نیک دخت - بوستان شهید منتظری,1,8,78,4099.732760935859000
79,مدرسه غیر دولتی نیک دخت - بوستان دهقان,1,98,79,4292.851825176218900
80,مدرسه غیر دولتی نیک دخت - بوستان ختمی,1,109,80,4354.974054128045300
81,مدرسه غیر دولتی نیک دخت - بوستان گلشن,1,66,81,4367.387554831374500
82,مدرسه غیر دولتی نیک دخت - مدرسه نیایش,1,134,82,4463.969811454097000
83,مدرسه غیر دولتی نیک دخت - مدرسه عارف نسب,1,59,83,4600.116206616053200
84,مدرسه غیر دولتی نیک دخت - بوستان ارژنگ,1,78,84,4685.068754184832900
85,مدرسه غیر دولتی نیک دخت - مدرسه ملت,1,103,85,4709.600455009807800
86,مدرسه غیر دولتی نیک دخت - بوستان شهید بهزادی,1,108,86,4889.388923296694000
87,مدرسه غیر دولتی نیک دخت - بوستان مجیدیه,1,96,87,4967.475601115585100
88,مدرسه غیر دولتی نیک دخت - مدرسه منصور نفر,1,69,88,4989.861803140289300
89,مدرسه غیر دولتی نیک دخت - بوستان سینا,1,156,89,5118.153028597771500
90,مدرسه غیر دولتی نیک دخت - بوستان سبلان,1,7,90,5141.520374018089600
91,مدرسه غیر دولتی نیک دخت - بوستان شهدای گلستان چهارم,1,14,91,5191.155513011919500
92,مدرسه غیر دولتی نیک دخت - مدرسه فرهنگ آل یاسین,1,105,92,5226.013738989743600
93,مدرسه غیر دولتی نیک دخت - بوستان سامان,1,15,93,5300.321595434679700
94,مدرسه غیر دولتی نیک دخت - بوستان آلاله,1,157,94,5317.588619372209000
95,مدرسه غیر دولتی نیک دخت - بوستان شهید جهان نیا,1,99,95,5327.618562028163100
96,مدرسه غیر دولتی نیک دخت - بوستان اتحاد,1,138,96,5331.802370478296300
97,مدرسه غیر دولتی نیک دخت - بوستان امید,1,139,97,5428.515216814256700
98,مدرسه غیر دولتی نیک دخت - بوستان ابوذر,1,67,98,5446.285348248922700
99,مدرسه غیر دولتی نیک دخت - بوستان گلریز,1,100,99,5464.125376790315400
100,مدرسه غیر دولتی نیک دخت - بوستان شفیعی,1,143,100,5482.060305589509000
101,مدرسه غیر دولتی نیک دخت - بوستان شاهد,1,140,101,5562.448066928934200
102,مدرسه غیر دولتی نیک دخت - بوستان حسین حامد,1,142,102,5565.497892809175000
103,مدرسه غیر دولتی نیک دخت - بوستان خواجه نصیر,1,3,103,5578.242128197815000
104,مدرسه غیر دولتی نیک دخت - مدرسه امامت,1,76,104,5615.565525752349500
105,مدرسه غیر دولتی نیک دخت - بوستان ملت,1,97,105,5653.076352332517700
106,مدرسه غیر دولتی نیک دخت - پارک ارغوان,1,120,106,5773.687386249866000
107,مدرسه غیر دولتی نیک دخت - بوستان رهنمون,1,141,107,5872.223754987849100
108,مدرسه غیر دولتی نیک دخت - پارک جنگلی لویزان,1,9,108,5949.526421301946400
109,مدرسه غیر دولتی نیک دخت - بوستان سنگسر,1,154,109,6008.662212268598500
110,مدرسه غیر دولتی نیک دخت - مدرسه صالحی شفا،ایثارگران امام حسین,1,43,110,6015.487836935351000
111,مدرسه غیر دولتی نیک دخت - بوستان احسان,1,74,111,6203.480059106274000
112,مدرسه غیر دولتی نیک دخت - مدرسه زینب و ایمان,1,150,112,6345.460111664831900
113,مدرسه غیر دولتی نیک دخت - بوستان شاداب,1,75,113,6397.985077243291000
114,مدرسه غیر دولتی نیک دخت - زمین ورزشی دانشگاه شهید عباسپور,1,34,114,6442.872921610672200
115,مدرسه غیر دولتی نیک دخت - بوستان رسالت,1,57,115,6496.916872064721200
116,مدرسه غیر دولتی نیک دخت - راهنمایی خواجه عبدا...انصاری,1,144,116,6591.736251891423300
117,مدرسه غیر دولتی نیک دخت - بوستان ساحل,1,37,117,6609.660253728392500
118,مدرسه غیر دولتی نیک دخت - دبیرستان خواجه عبدا...انصاری,1,94,118,6616.510039834395700
119,مدرسه غیر دولتی نیک دخت - زمین ورزشی شهید مبارکآبادی,1,47,119,6619.208401745449000
120,مدرسه غیر دولتی نیک دخت - پارک عمومی (فضای باز),1,35,120,6707.799523179567600
121,مدرسه غیر دولتی نیک دخت - بوستان شادی,1,113,121,6881.156456875714900
122,مدرسه غیر دولتی نیک دخت - مدرسه شهید آبشناسان,1,95,122,7042.708879447227400
123,مدرسه غیر دولتی نیک دخت - بوستان نارنج,1,56,123,7088.826803048892500
124,مدرسه غیر دولتی نیک دخت - بوستان ارکیده,1,72,124,7143.173433420887700
125,مدرسه غیر دولتی نیک دخت - بوستان شب بو,1,1,125,7318.137737763680900
126,مدرسه غیر دولتی نیک دخت - مجتمع آموزشی نرجس,1,17,126,7371.492948967920700
127,مدرسه غیر دولتی نیک دخت - بوستان نور (کتابخانه حکیمیه ) و فضای باز,1,23,127,7412.329366274678300
128,مدرسه غیر دولتی نیک دخت - بوستان هروی,1,46,128,7504.234938895700000
129,مدرسه غیر دولتی نیک دخت - بوستان افتخاریان,1,81,129,7518.168820514133600
130,مدرسه غیر دولتی نیک دخت - بوستان صدف,1,71,130,7543.209206892374800
131,مدرسه غیر دولتی نیک دخت - بوستان شکوفه,1,38,131,7564.828864969728800
132,مدرسه غیر دولتی نیک دخت - مدرسه شهدای پاسداران,1,149,132,7682.741269988445300
133,مدرسه غیر دولتی نیک دخت - مدرسه شعبانی,1,2,133,7696.367514907823500
134,مدرسه غیر دولتی نیک دخت - مدرسه ثامن الحجج,1,53,134,7720.399506231397900
135,مدرسه غیر دولتی نیک دخت - پارک جنگلی,1,55,135,7737.884204301158200
136,مدرسه غیر دولتی نیک دخت - بوستان سخندان,1,146,136,7836.216305969542200
137,مدرسه غیر دولتی نیک دخت - بوستان تولد,1,112,137,7892.693107794239900
138,مدرسه غیر دولتی نیک دخت - بوستان ریحانه,1,153,138,7907.167807760888500
